anno,data,importo,numero,stato,cliente_id
2020,2020-01-01 01:21:33.135,4038.88,25,NON_PAGATA,50
2020,2020-01-01 03:54:20.921,4771.87,9,NON_PAGATA,41
2020,2020-01-01 05:31:14.52,709.99,20,PAGATA,96
2020,2020-01-01 05:34:48.25,4683.95,110,PAGATA,94
2020,2020-01-01 11:51:42.632,4295.31,7,NON_PAGATA,66
2020,2020-01-01 11:56:15.99,3233.14,12,PAGATA,94
2020,2020-01-01 18:36:14.258,905.55,20,PAGATA,16
2020,2020-01-01 22:47:20.01,3490.76,53,NON_PAGATA,73
2020,2020-01-02 00:10:21.402,4068.02,2,PAGATA,29
2020,2020-01-02 05:22:31.723,4391.68,6,PAGATA,4
2020,2020-01-02 06:08:15.683,3647.72,10,PAGATA,19
2020,2020-01-02 10:13:40.831,1658.85,27,NON_PAGATA,40
2020,2020-01-02 10:44:45.029,374.71,86,PAGATA,64
2020,2020-01-02 12:27:27.018,915.42,22,PAGATA,88
2020,2020-01-02 12:55:21.896,2712.51,14,PAGATA,14
2020,2020-01-02 15:04:03.617,2875.81,29,NON_PAGATA,1
2020,2020-01-02 15:39:26.063,4757.41,82,PAGATA,28
2020,2020-01-02 16:10:30.858,4226.96,89,NON_PAGATA,17
2020,2020-01-02 17:41:27.658,4718.18,45,NON_PAGATA,100
2020,2020-01-02 18:01:42.728,1802.27,11,NON_PAGATA,9
2020,2020-01-02 18:38:11.861,3458.08,67,NON_PAGATA,56
2020,2020-01-02 19:19:04.63,2284.84,29,NON_PAGATA,5
2020,2020-01-02 20:20:24.656,4096.30,13,NON_PAGATA,31
2020,2020-01-02 20:26:24.411,1922.64,48,PAGATA,10
2020,2020-01-02 20:56:25.926,4099.74,36,PAGATA,20
2020,2020-01-02 21:50:56.677,3225.27,12,PAGATA,13
2020,2020-01-03 00:37:50.067,827.78,16,PAGATA,59
2020,2020-01-03 04:56:50.039,156.52,73,NON_PAGATA,78
2020,2020-01-03 05:33:00.403,3435.37,53,NON_PAGATA,68
2020,2020-01-03 08:03:03.1,1864.44,39,NON_PAGATA,56
2020,2020-01-03 10:43:16.978,971.26,7,NON_PAGATA,63
2020,2020-01-03 12:52:55.386,3429.70,67,NON_PAGATA,18
2020,2020-01-03 15:16:50.762,4816.33,35,NON_PAGATA,91
2020,2020-01-03 17:31:00.872,2264.25,17,NON_PAGATA,18
2020,2020-01-03 19:04:52.452,4421.65,3,NON_PAGATA,62
2020,2020-01-03 19:48:02.229,2349.22,16,PAGATA,38
2020,2020-01-03 19:48:08.884,2959.74,18,PAGATA,48
2020,2020-01-03 20:20:17.999,2412.11,77,NON_PAGATA,76
2020,2020-01-03 20:23:53.482,1977.34,18,PAGATA,27
2020,2020-01-03 20:32:38.447,4267.74,58,PAGATA,71
2020,2020-01-03 21:59:10.463,4527.02,99,NON_PAGATA,37
2020,2020-01-04 00:43:25.619,578.63,21,NON_PAGATA,15
2020,2020-01-04 06:22:40.99,2124.03,10,PAGATA,76
2020,2020-01-04 07:49:55.55,4850.72,27,NON_PAGATA,90
2020,2020-01-04 10:36:59.226,829.99,21,NON_PAGATA,33
2020,2020-01-04 12:14:07.192,2187.22,11,NON_PAGATA,80
2020,2020-01-04 20:15:03.268,1079.70,72,PAGATA,28
2020,2020-01-04 21:28:18.892,1154.46,37,NON_PAGATA,84
2020,2020-01-05 07:00:44.941,553.81,67,NON_PAGATA,84
2020,2020-01-05 09:10:17.331,3453.74,50,PAGATA,92
2020,2020-01-05 10:39:12.283,3636.97,38,PAGATA,50
2020,2020-01-05 11:19:34.923,872.04,8,PAGATA,100
2020,2020-01-05 11:52:14.817,3707.33,38,PAGATA,91
2020,2020-01-05 12:24:55.407,1816.06,95,NON_PAGATA,2
2020,2020-01-05 13:30:39.535,2454.88,28,PAGATA,67
2020,2020-01-05 15:54:43.821,3919.23,62,PAGATA,17
2020,2020-01-05 16:59:09.244,925.05,26,PAGATA,26
2020,2020-01-05 19:01:40.88,1781.46,43,NON_PAGATA,18
2020,2020-01-05 20:32:14.112,4760.77,43,NON_PAGATA,38
2020,2020-01-05 20:37:09.808,3833.20,35,NON_PAGATA,35
2020,2020-01-05 20:38:49.275,2674.26,6,PAGATA,94
2020,2020-01-05 21:47:08.589,2975.25,25,NON_PAGATA,47
